time	V(out)	I(Bat)
1.624448615980758e-006	2.827280e+001	-5.585151e-004
1.624993067776311e-006	2.827280e+001	-5.584931e-004
1.625259563571100e-006	2.827280e+001	-5.584823e-004
1.625529350521316e-006	2.827280e+001	-5.584713e-004
1.625810759731054e-006	2.827280e+001	-5.584599e-004
1.626196915563659e-006	2.827280e+001	-5.584442e-004
1.626626101980086e-006	2.827280e+001	-5.584268e-004
1.627086078343397e-006	2.827280e+001	-5.584082e-004
1.627333789444230e-006	2.827280e+001	-5.583981e-004
1.627611418450976e-006	2.827280e+001	-5.583868e-004
1.627901481865806e-006	2.827280e+001	-5.583751e-004
1.628302192746095e-006	2.827280e+001	-5.583589e-004
1.628741377999659e-006	2.827280e+001	-5.583412e-004
1.629177175562016e-006	2.827280e+001	-5.583235e-004
1.629433120596056e-006	2.827280e+001	-5.583132e-004
1.629732887929924e-006	2.827280e+001	-5.583010e-004
1.630040682842239e-006	2.827280e+001	-5.582885e-004
1.630460217861735e-006	2.827280e+001	-5.582715e-004
1.630920743002226e-006	2.827280e+001	-5.582528e-004
1.631311023691792e-006	2.827280e+001	-5.582370e-004
1.631580188327656e-006	2.827280e+001	-5.582261e-004
1.631839329251421e-006	2.827280e+001	-5.582156e-004
1.632199146578695e-006	2.827280e+001	-5.582010e-004
1.632604884218810e-006	2.827280e+001	-5.581847e-004
1.633141990084914e-006	2.827280e+001	-5.581630e-004
1.633425269029033e-006	2.827280e+001	-5.581515e-004
1.633693022951594e-006	2.827280e+001	-5.581407e-004
1.633968908656952e-006	2.827280e+001	-5.581295e-004
1.634348661204059e-006	2.827280e+001	-5.581141e-004
1.634772249311950e-006	2.827280e+001	-5.580970e-004
1.635249197120891e-006	2.827280e+001	-5.580776e-004
1.635511675865788e-006	2.827280e+001	-5.580670e-004
1.635789608769116e-006	2.827280e+001	-5.580558e-004
1.636080527298971e-006	2.827280e+001	-5.580440e-004
1.636477061047286e-006	2.827280e+001	-5.580280e-004
1.636916375330527e-006	2.827280e+001	-5.580103e-004
1.637357609090730e-006	2.827280e+001	-5.579924e-004
1.637613741645831e-006	2.827280e+001	-5.579821e-004
1.637911696770618e-006	2.827280e+001	-5.579701e-004
1.638218604642029e-006	2.827280e+001	-5.579576e-004
1.638636423702603e-006	2.827280e+001	-5.579407e-004
1.639095647181993e-006	2.827280e+001	-5.579222e-004
1.639488154278439e-006	2.827280e+001	-5.579063e-004
1.639756025909610e-006	2.827280e+001	-5.578955e-004
1.640010302482440e-006	2.827280e+001	-5.578852e-004
1.640368679167102e-006	2.827280e+001	-5.578707e-004
1.640770479239786e-006	2.827280e+001	-5.578545e-004
1.641303562917204e-006	2.827280e+001	-5.578330e-004
1.641597217591131e-006	2.827280e+001	-5.578211e-004
1.641863668559876e-006	2.827280e+001	-5.578104e-004
1.642135402075522e-006	2.827280e+001	-5.577994e-004
1.642511297888605e-006	2.827280e+001	-5.577842e-004
1.642930869238480e-006	2.827280e+001	-5.577672e-004
1.643420888496627e-006	2.827280e+001	-5.577474e-004
1.643693507053929e-006	2.827280e+001	-5.577364e-004
1.643972289485172e-006	2.827280e+001	-5.577252e-004
1.644264582087416e-006	2.827280e+001	-5.577134e-004
1.644658935516309e-006	2.827280e+001	-5.576975e-004
1.645099085044064e-006	2.827280e+001	-5.576798e-004
1.645539691400862e-006	2.827280e+001	-5.576620e-004
1.645795372603543e-006	2.827280e+001	-5.576517e-004
1.646092119895808e-006	2.827280e+001	-5.576398e-004
1.646398204948773e-006	2.827280e+001	-5.576274e-004
1.646815029304991e-006	2.827280e+001	-5.576105e-004
1.647273165828140e-006	2.827280e+001	-5.575920e-004
1.647666344942974e-006	2.827280e+001	-5.575762e-004
1.647932951842766e-006	2.827280e+001	-5.575654e-004
1.648182619958901e-006	2.827280e+001	-5.575554e-004
1.648539846379782e-006	2.827280e+001	-5.575410e-004
1.648938032823211e-006	2.827280e+001	-5.575250e-004
1.649467965956588e-006	2.827280e+001	-5.575036e-004
1.649770628173682e-006	2.827280e+001	-5.574914e-004
1.650035983901978e-006	2.827280e+001	-5.574807e-004
1.650303718910106e-006	2.827280e+001	-5.574699e-004
1.650676393169993e-006	2.827280e+001	-5.574549e-004
1.651092211741901e-006	2.827280e+001	-5.574381e-004
1.651594543397432e-006	2.827280e+001	-5.574179e-004
1.651876179914677e-006	2.827280e+001	-5.574065e-004
1.652155866701095e-006	2.827280e+001	-5.573952e-004
1.652449597741077e-006	2.827280e+001	-5.573834e-004
1.652842187985518e-006	2.827280e+001	-5.573676e-004
1.653283254454831e-006	2.827280e+001	-5.573499e-004
1.653722164201704e-006	2.827280e+001	-5.573322e-004
1.653977273021968e-006	2.827280e+001	-5.573219e-004
1.654272894922795e-006	2.827280e+001	-5.573101e-004
1.654578139622857e-006	2.827280e+001	-5.572977e-004
1.654994076602486e-006	2.827280e+001	-5.572810e-004
1.655451139159459e-006	2.827280e+001	-5.572626e-004
1.655844785462678e-006	2.827280e+001	-5.572467e-004
